time,voltage,current,resistance,power,temperature,note,group
0,1.205,0.1207,9.983,0.1454,25.0,valid,A
1,1.338,0.1363,9.817,0.1824,25.3,valid,A
2,1.501,0.1496,10.033,0.2245,25.6,valid,A
3,1.665,0.164,10.152,0.2731,25.9,valid,A
4,1.802,0.1806,9.978,0.3254,26.2,valid,A
5,1.944,0.1948,9.979,0.3787,26.5,valid,A
6,2.104,0.2082,10.106,0.4381,26.8,valid,A
7,2.246,0.2253,9.969,0.506,27.1,valid,A
8,2.393,0.24,9.971,0.5743,27.4,valid,A
9,2.532,0.2531,10.004,0.6408,27.7,valid,A
10,2.717,0.2714,10.011,0.7374,28.0,valid,A
11,2.847,0.2859,9.958,0.814,28.3,valid,A
12,3.017,0.3007,10.033,0.9072,28.6,valid,A
13,3.135,0.3139,9.987,0.9841,28.9,valid,A
14,3.286,0.3281,10.015,1.0781,29.2,valid,A
15,3.454,0.3443,10.032,1.1892,29.5,valid,A
16,3.585,0.3598,9.964,1.2899,29.8,valid,A
17,3.766,0.3731,10.094,1.4051,30.1,valid,A
18,3.908,0.3894,10.036,1.5218,30.4,valid,A
19,4.037,0.4051,9.965,1.6354,30.7,valid,A
20,4.19,0.4202,9.971,1.7606,31.0,valid,A
