Apr. 22, 2026   10:23:46
A.C. Impedance
File: d:\lihai\20260422eis\5.csv
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.01
Imp SF
Amplitude (V) = 5e-4
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 1.936e+0, -1.831e-1, 1.945e+0, -5.4
8.252e+4, 2.041e+0, -3.772e-1, 2.075e+0, -10.5
6.812e+4, 2.160e+0, -5.531e-1, 2.229e+0, -14.4
5.625e+4, 2.300e+0, -7.304e-1, 2.413e+0, -17.6
4.644e+4, 2.467e+0, -8.728e-1, 2.617e+0, -19.5
3.833e+4, 2.647e+0, -9.905e-1, 2.827e+0, -20.5
3.164e+4, 2.835e+0, -1.079e+0, 3.033e+0, -20.8
2.612e+4, 3.020e+0, -1.149e+0, 3.231e+0, -20.8
2.153e+4, 3.208e+0, -1.209e+0, 3.429e+0, -20.7
1.777e+4, 3.392e+0, -1.259e+0, 3.618e+0, -20.4
1.470e+4, 3.586e+0, -1.303e+0, 3.815e+0, -20.0
1.211e+4, 3.795e+0, -1.347e+0, 4.027e+0, -19.5
1.001e+4, 4.015e+0, -1.370e+0, 4.242e+0, -18.8
8.252e+3, 4.235e+0, -1.375e+0, 4.452e+0, -18.0
6.812e+3, 4.447e+0, -1.384e+0, 4.657e+0, -17.3
5.625e+3, 4.651e+0, -1.392e+0, 4.855e+0, -16.7
4.643e+3, 4.851e+0, -1.399e+0, 5.049e+0, -16.1
3.833e+3, 5.052e+0, -1.399e+0, 5.242e+0, -15.5
3.164e+3, 5.246e+0, -1.386e+0, 5.426e+0, -14.8
2.612e+3, 5.446e+0, -1.361e+0, 5.613e+0, -14.0
2.153e+3, 5.657e+0, -1.331e+0, 5.811e+0, -13.2
1.777e+3, 5.866e+0, -1.293e+0, 6.007e+0, -12.4
1.470e+3, 6.063e+0, -1.238e+0, 6.188e+0, -11.5
1.211e+3, 6.241e+0, -1.165e+0, 6.349e+0, -10.6
